,file,h_CC,h_LOC,h_bfs,h_churn,h_exp,h_num_bugs,h_num_post,h_num_pre,k_CC,k_LOC,k_bfs,k_churn,k_exp,k_num_bugs,k_num_post,k_num_pre,project,rel
47,/server/monitor/servlets/TServersServlet.java,46,370,4,0,139,1,1,0,46,306,4,16,119,1,1,1,accumulo,1.4.0
48,/accumulo/server/tabletserver/Tablet.java,597,3788,76,241,105.5,2,2,11,596,2739,14,338,168,2,2,21,accumulo,1.4.0
49,/accumulo/server/tabletserver/TabletServer.java,515,3329,48,222,176.8,3,5,10,515,2625,31,249,203,2,2,21,accumulo,1.4.0
50,/server/tabletserver/log/RemoteLogger.java,24,167,3,143,76,1,1,1,24,121,3,34,84,1,1,3,accumulo,1.4.0
51,/accumulo/server/util/Initialize.java,53,439,20,20,70,1,1,1,53,339,20,23,28,1,1,4,accumulo,1.4.0
52,/accumulo/server/util/MetadataTable.java,214,1289,4,66,131,1,1,1,214,992,0,91,0,0,0,4,accumulo,1.4.0
53,/accumulo/server/zookeeper/IZooReaderWriter.java,13,62,2,32,101,1,1,1,0,25,2,79,84,1,1,3,accumulo,1.4.0
54,/accumulo/server/zookeeper/ZooReaderWriter.java,32,207,5,2,101,1,1,1,31,152,5,77,84,1,1,3,accumulo,1.4.0
55,/core/client/mapred/AccumuloInputFormat.java,6,83,1,14,3,1,1,1,6,44,0,9,0,0,0,3,accumulo,1.5.0
56,/core/client/mapred/InputFormatBase.java,84,876,440,86,3,1,1,1,82,375,0,95,0,0,0,4,accumulo,1.5.0
57,/mapreduce/lib/util/ConfiguratorBase.java,39,393,2,154,41,1,1,1,23,87,0,249,0,0,0,3,accumulo,1.5.0
58,/mapreduce/lib/util/InputConfigurator.java,51,532,462,0,99,1,2,0,51,205,0,15,0,0,0,2,accumulo,1.5.0
59,/client/security/tokens/PasswordToken.java,22,156,4,54,44,1,1,1,22,96,0,10,0,0,0,1,accumulo,1.5.0
60,/accumulo/core/file/BloomFilterLayer.java,62,502,8,6,41,1,1,0,63,357,0,0,0,0,0,0,accumulo,1.5.0
61,/accumulo/core/security/Credentials.java,2,44,7,0,44,1,1,0,2,18,0,0,0,0,0,0,accumulo,1.5.0
62,/core/security/crypto/CryptoModuleFactory.java,33,254,29,0,41,1,1,0,33,179,0,0,0,0,0,0,accumulo,1.5.0
63,/accumulo/core/util/NumUtil.java,7,54,2,54,18,1,1,0,7,29,0,0,0,0,0,0,accumulo,1.5.0
64,/examples/simple/mapreduce/UniqueColumns.java,7,139,7,0,195,1,1,0,8,86,0,0,0,0,0,0,accumulo,1.5.0
65,/accumulo/fate/zookeeper/ZooCache.java,60,310,7,0,4,1,1,0,59,227,0,0,0,0,0,0,accumulo,1.5.0
66,/accumulo/fate/zookeeper/ZooLock.java,90,514,17,132,4.5,2,2,2,86,362,12,132,0,1,1,3,accumulo,1.5.0
67,/accumulo/fate/zookeeper/ZooReader.java,14,105,4,39,4,1,1,1,14,74,0,10,0,0,0,1,accumulo,1.5.0
68,/apache/accumulo/minicluster/MiniAccumuloCluster.java,37,332,172,0,19.625,7,8,0,34,225,4,0,214,2,2,0,accumulo,1.5.0
69,/apache/accumulo/minicluster/MiniAccumuloRunner.java,27,209,2,0,7,1,1,0,30,179,0,5,0,0,0,1,accumulo,1.5.0
70,/apache/accumulo/proxy/ProxyServer.java,283,1493,4,2233,12,1,2,4,280,1302,4,129,0,2,2,8,accumulo,1.5.0
71,/server/master/recovery/RecoveryManager.java,19,184,2,24,29,1,1,1,19,144,0,172,0,0,0,3,accumulo,1.5.0
72,/server/master/tableOps/CancelCompactions.java,9,99,2,0,438,1,1,0,9,61,2,0,0,1,1,0,accumulo,1.5.0
73,/server/master/tableOps/ImportTable.java,68,595,5,13,192,1,1,1,68,427,5,2,201,1,1,1,accumulo,1.5.0
74,/server/security/handler/ZKAuthenticator.java,34,213,5,5,41,1,1,1,34,165,0,2,0,0,0,1,accumulo,1.5.0
75,/server/tabletserver/log/DfsLogger.java,70,504,126,99,13.5,2,2,4,67,377,0,100,0,0,0,5,accumulo,1.5.0
76,/accumulo/server/util/FindOfflineTablets.java,7,74,74,31,188,1,1,3,7,50,0,46,0,0,0,6,accumulo,1.5.0
77,/start/classloader/vfs/AccumuloVFSClassLoader.java,52,375,126,366,9.5,1,2,1,51,274,0,4,0,0,0,1,accumulo,1.5.0
78,/trace/instrument/impl/MilliSpan.java,27,141,10,0,441,1,1,0,27,99,0,0,0,0,0,0,accumulo,1.5.0
79,/trace/instrument/impl/RootMilliSpan.java,3,43,2,0,441,1,1,0,3,17,0,0,0,0,0,0,accumulo,1.5.0
80,/accumulo/core/cli/BatchWriterOpts.java,1,51,1,0,138,1,1,0,1,24,0,0,0,0,0,0,accumulo,1.6.0
81,/accumulo/core/client/BatchWriterConfig.java,48,293,107,0,161,1,1,0,32,113,0,0,0,0,0,0,accumulo,1.6.0
82,/core/client/impl/TableOperationsImpl.java,239,1593,6,0,0,1,1,0,238,1109,27,0,157,2,2,0,accumulo,1.6.0
83,/core/client/mapreduce/InputTableConfig.java,57,367,2,0,10,1,1,0,57,178,2,0,10,1,1,0,accumulo,1.6.0
84,/core/client/mapreduce/RangeInputSplit.java,96,522,41,188,189.666666667,3,3,1,90,382,18,736,185,2,2,10,accumulo,1.6.0
85,/util/shell/commands/ShellPluginConfigurationCommand.java,16,146,23,0,5,1,1,0,16,96,23,0,0,1,1,0,accumulo,1.6.0
86,/accumulo/core/volume/VolumeImpl.java,12,105,4,40,149,1,1,0,12,65,4,0,418,1,1,0,accumulo,1.6.0
87,/accumulo/minicluster/impl/MiniAccumuloClusterImpl.java,110,745,32,62,23,1,1,4,94,512,38,32,157,1,1,4,accumulo,1.6.0
88,/accumulo/minicluster/impl/MiniAccumuloConfigImpl.java,53,503,8,69,1,1,1,2,51,233,8,20,0,1,1,2,accumulo,1.6.0
89,/accumulo/minicluster/impl/ProcessReference.java,5,47,7,0,225,1,1,0,5,22,7,0,157,1,1,0,accumulo,1.6.0
90,/accumulo/server/fs/VolumeUtil.java,50,350,5,37,225,1,1,0,50,245,10,0,275,3,3,0,accumulo,1.6.0
91,/accumulo/server/init/Initialize.java,85,637,30,263,209,1,1,2,85,504,237,102,265,3,3,5,accumulo,1.6.0
92,/server/master/recovery/RecoveryPath.java,4,59,7,56,22,1,1,0,3,21,7,0,28,1,1,0,accumulo,1.6.0
93,/accumulo/server/tablets/TabletTime.java,44,232,1,0,134,1,1,0,38,158,0,0,0,0,0,0,accumulo,1.6.0
94,/accumulo/server/util/LoginProperties.java,4,59,4,0,4,1,1,0,4,31,4,0,0,1,1,0,accumulo,1.6.0
95,/apache/accumulo/gc/GarbageCollectWriteAheadLogs.java,60,402,8,346,22,1,1,2,60,281,8,9,28,1,1,3,accumulo,1.6.0
96,/apache/accumulo/gc/SimpleGarbageCollector.java,79,701,2,225,154,1,1,3,79,490,85,41,889,4,4,5,accumulo,1.6.0
97,/apache/accumulo/master/FateServiceHandler.java,62,426,33,66,143,1,1,4,62,333,0,523,0,0,0,8,accumulo,1.6.0
98,/apache/accumulo/master/Master.java,232,1267,85,170,80.7142857143,7,7,4,230,1048,45,927,265,4,4,9,accumulo,1.6.0
99,/accumulo/master/tableOps/BulkImport.java,73,617,159,24,75,2,2,1,72,470,159,11,418,2,2,1,accumulo,1.6.0
100,/apache/accumulo/monitor/Monitor.java,91,754,65,24,180,1,1,1,91,593,65,19,418,1,1,2,accumulo,1.6.0
101,/accumulo/monitor/servlets/BasicServlet.java,38,282,1,40,180,1,1,1,37,226,1,10,418,1,1,2,accumulo,1.6.0
102,/accumulo/monitor/servlets/TServersServlet.java,46,369,1,0,88,1,1,0,46,306,5,0,136,2,2,0,accumulo,1.6.0
103,/apache/accumulo/tracer/TraceServer.java,40,322,4,58,4,1,1,0,40,270,4,2,0,1,1,1,accumulo,1.6.0
104,/apache/accumulo/tserver/InMemoryMap.java,125,753,4,2,137,1,1,0,118,544,0,0,0,0,0,0,accumulo,1.6.0
105,/apache/accumulo/tserver/TabletStatsKeeper.java,17,113,1,0,134,1,1,0,17,78,0,0,0,0,0,0,accumulo,1.6.0
106,/accumulo/tserver/log/TabletServerLogger.java,72,432,4,156,209,1,1,4,69,316,0,20,0,0,0,2,accumulo,1.6.0
107,/start/classloader/vfs/FinalCloseDefaultFileSystemManager.java,1,25,25,0,162,1,1,0,1,7,25,0,418,1,1,0,accumulo,1.6.0
108,/start/classloader/vfs/UniqueFileReplicator.java,12,102,4,39,1,1,1,2,8,57,0,0,0,0,0,0,accumulo,1.6.0
109,/apache/bookkeeper/benchmark/TestClient.java,0,36,41,462,31,1,1,0,42,295,41,0,20,1,1,0,bookkeeper,4.1.0
110,/apache/bookkeeper/bookie/Bookie.java,97,764,78,673,80.5,2,2,4,97,520,85,348,169,3,3,7,bookkeeper,4.1.0
111,/apache/bookkeeper/bookie/BookieShell.java,85,684,19,0,21,1,1,0,112,687,0,0,0,0,0,0,bookkeeper,4.1.0
112,/apache/bookkeeper/bookie/EntryLogger.java,64,482,15,247,24,1,1,4,61,319,0,223,0,0,0,5,bookkeeper,4.1.0
113,/apache/bookkeeper/bookie/FileSystemUpgrade.java,62,378,8,0,30,1,1,0,62,315,8,243,20,1,1,1,bookkeeper,4.1.0
114,/apache/bookkeeper/bookie/GarbageCollectorThread.java,61,510,2,201,27,1,1,2,61,321,22,162,21,1,1,2,bookkeeper,4.1.0
115,/apache/bookkeeper/bookie/Journal.java,72,576,6,558,21,1,1,1,70,361,5,8,21,1,1,1,bookkeeper,4.1.0
116,/apache/bookkeeper/bookie/LedgerCacheImpl.java,128,788,23,886,80,1,1,5,128,611,23,174,74,1,1,5,bookkeeper,4.1.0
117,/apache/bookkeeper/client/LedgerDeleteOp.java,3,81,9,0,90,1,1,0,3,24,0,0,0,0,0,0,bookkeeper,4.1.0
118,/apache/bookkeeper/client/LedgerHandle.java,94,905,308,127,85.6666666667,3,3,1,94,531,0,156,0,0,0,2,bookkeeper,4.1.0
119,/apache/bookkeeper/client/LedgerMetadata.java,34,312,4,58,78,1,1,1,34,174,0,44,0,0,0,1,bookkeeper,4.1.0
