,project,file,rel,h_LOC,k_LOC,h_CC,k_CC,h_bfs,k_bfs,h_churn,k_churn,h_num_pre,k_num_pre,h_num_post,k_num_post,h_exp,k_exp,h_num_bugs,k_num_bugs
38,accumulo,/accumulo/server/master/LiveTServerSet.java,1.4.0,364,297.0,51,50.0,1,1.0,310,320,7,9,1,1.0,184.0,119.0,1,1.0
39,accumulo,/accumulo/server/master/Master.java,1.4.0,2308,1947.0,422,422.0,33,33.0,980,992,18,38,3,3.0,133.66666666700002,322.0,3,3.0
40,accumulo,/server/master/balancer/DefaultLoadBalancer.java,1.4.0,311,234.0,53,53.0,12,12.0,0,16,0,1,1,1.0,187.0,119.0,1,1.0
41,accumulo,/server/master/tableOps/BulkImport.java,1.4.0,499,388.0,59,59.0,176,176.0,518,526,5,11,1,1.0,101.0,84.0,1,1.0
42,accumulo,/server/master/tserverOps/FlushTablets.java,1.4.0,90,63.0,14,14.0,6,6.0,0,24,0,3,1,1.0,72.0,28.0,1,1.0
43,accumulo,/server/master/tserverOps/ShutdownTServer.java,1.4.0,94,66.0,10,10.0,2,2.0,0,19,0,2,1,1.0,179.0,119.0,1,1.0
44,accumulo,/accumulo/server/monitor/Monitor.java,1.4.0,617,507.0,78,78.0,12,12.0,32,34,1,3,1,1.0,139.0,119.0,1,1.0
45,accumulo,/server/monitor/servlets/DefaultServlet.java,1.4.0,384,315.0,47,47.0,11,11.0,168,87,1,4,2,2.0,140.5,238.0,2,2.0
46,accumulo,/server/monitor/servlets/MasterServlet.java,1.4.0,205,170.0,28,28.0,4,4.0,4,20,1,3,1,1.0,142.0,119.0,1,1.0
47,accumulo,/server/monitor/servlets/TServersServlet.java,1.4.0,370,306.0,46,46.0,4,4.0,0,16,0,1,1,1.0,139.0,119.0,1,1.0
48,accumulo,/accumulo/server/tabletserver/Tablet.java,1.4.0,3788,2739.0,597,596.0,76,14.0,241,338,11,21,2,2.0,105.5,168.0,2,2.0
49,accumulo,/accumulo/server/tabletserver/TabletServer.java,1.4.0,3329,2625.0,515,515.0,48,31.0,222,249,10,21,5,2.0,176.8,203.0,3,2.0
50,accumulo,/server/tabletserver/log/RemoteLogger.java,1.4.0,167,121.0,24,24.0,3,3.0,143,34,1,3,1,1.0,76.0,84.0,1,1.0
51,accumulo,/accumulo/server/util/Initialize.java,1.4.0,439,339.0,53,53.0,20,20.0,20,23,1,4,1,1.0,70.0,28.0,1,1.0
52,accumulo,/accumulo/server/util/MetadataTable.java,1.4.0,1289,992.0,214,214.0,4,0.0,66,91,1,4,1,0.0,131.0,0.0,1,0.0
53,accumulo,/accumulo/server/zookeeper/IZooReaderWriter.java,1.4.0,62,25.0,13,0.0,2,2.0,32,79,1,3,1,1.0,101.0,84.0,1,1.0
54,accumulo,/accumulo/server/zookeeper/ZooReaderWriter.java,1.4.0,207,152.0,32,31.0,5,5.0,2,77,1,3,1,1.0,101.0,84.0,1,1.0
55,accumulo,/core/client/mapred/AccumuloInputFormat.java,1.5.0,83,44.0,6,6.0,1,0.0,14,9,1,3,1,0.0,3.0,0.0,1,0.0
56,accumulo,/core/client/mapred/InputFormatBase.java,1.5.0,876,375.0,84,82.0,440,0.0,86,95,1,4,1,0.0,3.0,0.0,1,0.0
57,accumulo,/mapreduce/lib/util/ConfiguratorBase.java,1.5.0,393,87.0,39,23.0,2,0.0,154,249,1,3,1,0.0,41.0,0.0,1,0.0
58,accumulo,/mapreduce/lib/util/InputConfigurator.java,1.5.0,532,205.0,51,51.0,462,0.0,0,15,0,2,2,0.0,99.0,0.0,1,0.0
59,accumulo,/client/security/tokens/PasswordToken.java,1.5.0,156,96.0,22,22.0,4,0.0,54,10,1,1,1,0.0,44.0,0.0,1,0.0
60,accumulo,/accumulo/core/file/BloomFilterLayer.java,1.5.0,502,357.0,62,63.0,8,0.0,6,0,0,0,1,0.0,41.0,0.0,1,0.0
61,accumulo,/accumulo/core/security/Credentials.java,1.5.0,44,18.0,2,2.0,7,0.0,0,0,0,0,1,0.0,44.0,0.0,1,0.0
62,accumulo,/core/security/crypto/CryptoModuleFactory.java,1.5.0,254,179.0,33,33.0,29,0.0,0,0,0,0,1,0.0,41.0,0.0,1,0.0
63,accumulo,/accumulo/core/util/NumUtil.java,1.5.0,54,29.0,7,7.0,2,0.0,54,0,0,0,1,0.0,18.0,0.0,1,0.0
64,accumulo,/examples/simple/mapreduce/UniqueColumns.java,1.5.0,139,86.0,7,8.0,7,0.0,0,0,0,0,1,0.0,195.0,0.0,1,0.0
65,accumulo,/accumulo/fate/zookeeper/ZooCache.java,1.5.0,310,227.0,60,59.0,7,0.0,0,0,0,0,1,0.0,4.0,0.0,1,0.0
66,accumulo,/accumulo/fate/zookeeper/ZooLock.java,1.5.0,514,362.0,90,86.0,17,12.0,132,132,2,3,2,1.0,4.5,0.0,2,1.0
67,accumulo,/accumulo/fate/zookeeper/ZooReader.java,1.5.0,105,74.0,14,14.0,4,0.0,39,10,1,1,1,0.0,4.0,0.0,1,0.0
68,accumulo,/apache/accumulo/minicluster/MiniAccumuloCluster.java,1.5.0,332,225.0,37,34.0,172,4.0,0,0,0,0,8,2.0,19.625,214.0,7,2.0
69,accumulo,/apache/accumulo/minicluster/MiniAccumuloRunner.java,1.5.0,209,179.0,27,30.0,2,0.0,0,5,0,1,1,0.0,7.0,0.0,1,0.0
70,accumulo,/apache/accumulo/proxy/ProxyServer.java,1.5.0,1493,1302.0,283,280.0,4,4.0,2233,129,4,8,2,2.0,12.0,0.0,1,2.0
71,accumulo,/server/master/recovery/RecoveryManager.java,1.5.0,184,144.0,19,19.0,2,0.0,24,172,1,3,1,0.0,29.0,0.0,1,0.0
72,accumulo,/server/master/tableOps/CancelCompactions.java,1.5.0,99,61.0,9,9.0,2,2.0,0,0,0,0,1,1.0,438.0,0.0,1,1.0
73,accumulo,/server/master/tableOps/ImportTable.java,1.5.0,595,427.0,68,68.0,5,5.0,13,2,1,1,1,1.0,192.0,201.0,1,1.0
74,accumulo,/server/security/handler/ZKAuthenticator.java,1.5.0,213,165.0,34,34.0,5,0.0,5,2,1,1,1,0.0,41.0,0.0,1,0.0
75,accumulo,/server/tabletserver/log/DfsLogger.java,1.5.0,504,377.0,70,67.0,126,0.0,99,100,4,5,2,0.0,13.5,0.0,2,0.0
76,accumulo,/accumulo/server/util/FindOfflineTablets.java,1.5.0,74,50.0,7,7.0,74,0.0,31,46,3,6,1,0.0,188.0,0.0,1,0.0
77,accumulo,/start/classloader/vfs/AccumuloVFSClassLoader.java,1.5.0,375,274.0,52,51.0,126,0.0,366,4,1,1,2,0.0,9.5,0.0,1,0.0
78,accumulo,/trace/instrument/impl/MilliSpan.java,1.5.0,141,99.0,27,27.0,10,0.0,0,0,0,0,1,0.0,441.0,0.0,1,0.0
79,accumulo,/trace/instrument/impl/RootMilliSpan.java,1.5.0,43,17.0,3,3.0,2,0.0,0,0,0,0,1,0.0,441.0,0.0,1,0.0
80,accumulo,/accumulo/core/cli/BatchWriterOpts.java,1.6.0,51,24.0,1,1.0,1,0.0,0,0,0,0,1,0.0,138.0,0.0,1,0.0
81,accumulo,/accumulo/core/client/BatchWriterConfig.java,1.6.0,293,113.0,48,32.0,107,0.0,0,0,0,0,1,0.0,161.0,0.0,1,0.0
82,accumulo,/core/client/impl/TableOperationsImpl.java,1.6.0,1593,1109.0,239,238.0,6,27.0,0,0,0,0,1,2.0,0.0,157.0,1,2.0
83,accumulo,/core/client/mapreduce/InputTableConfig.java,1.6.0,367,178.0,57,57.0,2,2.0,0,0,0,0,1,1.0,10.0,10.0,1,1.0
84,accumulo,/core/client/mapreduce/RangeInputSplit.java,1.6.0,522,382.0,96,90.0,41,18.0,188,736,1,10,3,2.0,189.66666666700002,185.0,3,2.0
