,file,h_CC,h_LOC,h_bfs,h_churn,h_exp,h_num_bugs,h_num_post,h_num_pre,k_CC,k_LOC,k_bfs,k_churn,k_exp,k_num_bugs,k_num_post,k_num_pre,project,rel
31,/examples/wikisearch/iterator/AndIterator.java,152.0,928.0,75.0,82.0,165.0,1.0,3.0,1.0,152.0,592.0,72.0,342.0,238.0,2.0,2.0,12.0,accumulo,1.4.0
32,/apache/accumulo/server/Accumulo.java,28.0,195.0,2.0,64.0,193.0,1.0,1.0,1.0,28.0,148.0,2.0,678.0,119.0,1.0,1.0,13.0,accumulo,1.4.0
33,/accumulo/server/client/BulkImporter.java,116.0,797.0,42.0,52.0,101.0,1.0,1.0,1.0,116.0,608.0,42.0,2785.0,84.0,1.0,1.0,9.0,accumulo,1.4.0
34,/accumulo/server/fate/ZooStore.java,74.0,425.0,18.0,26.0,110.0,1.0,1.0,1.0,74.0,334.0,18.0,6004.0,84.0,1.0,1.0,36.0,accumulo,1.4.0
35,/accumulo/server/logger/LogService.java,56.0,384.0,51.0,10.0,76.0,1.0,1.0,1.0,56.0,324.0,51.0,2803.0,84.0,1.0,1.0,19.0,accumulo,1.4.0
36,/accumulo/server/logger/LogWriter.java,92.0,623.0,6.0,7.0,76.0,1.0,1.0,0.0,92.0,525.0,6.0,1933.0,84.0,1.0,1.0,8.0,accumulo,1.4.0
37,/accumulo/server/master/CoordinateRecoveryTask.java,78.0,411.0,15.0,9.0,76.0,1.0,1.0,1.0,77.0,339.0,15.0,1268.0,84.0,1.0,1.0,7.0,accumulo,1.4.0
38,/accumulo/server/master/LiveTServerSet.java,51.0,364.0,1.0,310.0,184.0,1.0,1.0,7.0,50.0,297.0,1.0,1215.0,119.0,1.0,1.0,15.0,accumulo,1.4.0
39,/accumulo/server/master/Master.java,422.0,2308.0,33.0,980.0,133.66666666700002,3.0,3.0,18.0,422.0,1947.0,33.0,10502.0,322.0,3.0,3.0,59.0,accumulo,1.4.0
40,/server/master/balancer/DefaultLoadBalancer.java,53.0,311.0,12.0,0.0,187.0,1.0,1.0,0.0,53.0,234.0,12.0,1063.0,119.0,1.0,1.0,5.0,accumulo,1.4.0
41,/server/master/tableOps/BulkImport.java,59.0,499.0,176.0,518.0,101.0,1.0,1.0,5.0,59.0,388.0,176.0,3347.0,84.0,1.0,1.0,25.0,accumulo,1.4.0
42,/server/master/tserverOps/FlushTablets.java,14.0,90.0,6.0,0.0,72.0,1.0,1.0,0.0,14.0,63.0,6.0,266.0,28.0,1.0,1.0,7.0,accumulo,1.4.0
43,/server/master/tserverOps/ShutdownTServer.java,10.0,94.0,2.0,0.0,179.0,1.0,1.0,0.0,10.0,66.0,2.0,248.0,119.0,1.0,1.0,5.0,accumulo,1.4.0
44,/accumulo/server/monitor/Monitor.java,78.0,617.0,12.0,32.0,139.0,1.0,1.0,1.0,78.0,507.0,12.0,2925.0,119.0,1.0,1.0,13.0,accumulo,1.4.0
45,/server/monitor/servlets/DefaultServlet.java,47.0,384.0,11.0,168.0,140.5,2.0,2.0,1.0,47.0,315.0,11.0,1738.0,238.0,2.0,2.0,12.0,accumulo,1.4.0
46,/server/monitor/servlets/MasterServlet.java,28.0,205.0,4.0,4.0,142.0,1.0,1.0,1.0,28.0,170.0,4.0,1066.0,119.0,1.0,1.0,10.0,accumulo,1.4.0
47,/server/monitor/servlets/TServersServlet.java,46.0,370.0,4.0,0.0,139.0,1.0,1.0,0.0,46.0,306.0,4.0,1716.0,119.0,1.0,1.0,6.0,accumulo,1.4.0
48,/accumulo/server/tabletserver/Tablet.java,597.0,3788.0,76.0,241.0,105.5,2.0,2.0,11.0,596.0,2739.0,14.0,18091.0,168.0,2.0,2.0,38.0,accumulo,1.4.0
49,/accumulo/server/tabletserver/TabletServer.java,515.0,3329.0,48.0,222.0,176.8,3.0,5.0,10.0,515.0,2625.0,31.0,10338.0,203.0,2.0,2.0,33.0,accumulo,1.4.0
50,/server/tabletserver/log/RemoteLogger.java,24.0,167.0,3.0,143.0,76.0,1.0,1.0,1.0,24.0,121.0,3.0,680.0,84.0,1.0,1.0,8.0,accumulo,1.4.0
51,/accumulo/server/util/Initialize.java,53.0,439.0,20.0,20.0,70.0,1.0,1.0,1.0,53.0,339.0,20.0,1631.0,28.0,1.0,1.0,14.0,accumulo,1.4.0
52,/accumulo/server/util/MetadataTable.java,214.0,1289.0,4.0,66.0,131.0,1.0,1.0,1.0,214.0,992.0,0.0,9894.0,0.0,0.0,0.0,16.0,accumulo,1.4.0
53,/accumulo/server/zookeeper/IZooReaderWriter.java,13.0,62.0,2.0,32.0,101.0,1.0,1.0,1.0,0.0,25.0,2.0,2140.0,84.0,1.0,1.0,12.0,accumulo,1.4.0
54,/accumulo/server/zookeeper/ZooReaderWriter.java,32.0,207.0,5.0,2.0,101.0,1.0,1.0,1.0,31.0,152.0,5.0,577.0,84.0,1.0,1.0,9.0,accumulo,1.4.0
55,/core/client/mapred/AccumuloInputFormat.java,6.0,83.0,1.0,14.0,3.0,1.0,1.0,1.0,6.0,44.0,0.0,1570.0,0.0,0.0,0.0,44.0,accumulo,1.5.0
56,/core/client/mapred/InputFormatBase.java,84.0,876.0,440.0,86.0,3.0,1.0,1.0,1.0,82.0,375.0,0.0,44022.0,0.0,0.0,0.0,102.0,accumulo,1.5.0
57,/mapreduce/lib/util/ConfiguratorBase.java,39.0,393.0,2.0,154.0,41.0,1.0,1.0,1.0,23.0,87.0,0.0,864.0,0.0,0.0,0.0,25.0,accumulo,1.5.0
58,/mapreduce/lib/util/InputConfigurator.java,51.0,532.0,462.0,0.0,99.0,1.0,2.0,0.0,51.0,205.0,0.0,400.0,0.0,0.0,0.0,20.0,accumulo,1.5.0
