"","V1","V2","V3","V4","V5"
"1","Project","Features","Y #Bugs","Y ChgLines","Y Exp"
"2","accumulo","X LOC","0.344734357908735","0.403027567865749","0.276451391707161"
"3","accumulo","X CC","0.341806435365842","0.399688521926053","0.274971377110821"
"4","accumulo","X churn","0.157192420880575","0.0989521241176178","0.224722717149452"
"5","bookkeeper","X LOC","0.30215238557715","0.369609839820139","0.277209338842491"
"6","bookkeeper","X CC","0.28801210267344","0.351475412466879","0.266865669934024"
"7","bookkeeper","X churn","0.253724840399024","0.167966150476199","0.271839836777535"
"8","camel","X LOC","0.435490697431179","0.408635655297021","0.412215668352737"
"9","camel","X CC","0.420961115934974","0.456230192799231","0.422275807407547"
"10","camel","X churn","0.0891581878152388","0.0829696330664831","0.100354981207995"
"11","cassandra","X LOC","0.274615077978025","0.363954613796629","0.163427461055885"
"12","cassandra","X CC","0.284530864768795","0.356871608636523","0.164789347818759"
"13","cassandra","X churn","0.244561423678181","0.153994788079606","0.354125807649394"
"14","cxf","X LOC","0.299907018044946","0.275869124338544","0.313411135800846"
"15","cxf","X CC","0.311675955158369","0.300437738664938","0.376385423435644"
"16","cxf","X churn","0.234005915792555","0.25640898477673","0.181788057426651"
"17","derby","X LOC","0.388899069066697","0.356451907465895","0.472874496826102"
"18","derby","X CC","0.487273487702843","0.576982800998358","0.352358197971671"
"19","derby","X churn","0.0642916942390494","0.0339175596004447","0.0882648721430872"
"20","felix","X LOC","0.419117448934444","0.425254962518341","0.377881369912068"
"21","felix","X CC","0.319583532873963","0.412709462144752","0.288381226459148"
"22","felix","X churn","0.147287786757449","0.0893339723289393","0.191745385820229"
"23","hive","X LOC","0.277029801199134","0.281730935604152","0.246579264693153"
"24","hive","X CC","0.267836077984339","0.271428368084461","0.239442652865501"
"25","hive","X churn","0.247527788334125","0.247309629817136","0.273724951253804"
"26","openjpa","X LOC","0.291654389929448","0.244784601822146","0.261730001080982"
"27","openjpa","X CC","0.402717071858126","0.319207569095788","0.374389429876996"
"28","openjpa","X churn","0.170926722811219","0.248935613566499","0.193580832535127"
"29","pig","X LOC","0.227217921955247","0.306361081423026","0.409546863744959"
"30","pig","X CC","0.175479637980259","0.189140319573634","0.283833223433794"
"31","pig","X churn","0.341730968935371","0.281957508185136","0.187523107360416"
"32","wicket","X LOC","0.313196760415668","0.205536359304457","0.41602853478641"
"33","wicket","X CC","0.284226848321965","0.193715147113072","0.367382643841173"
"34","wicket","X churn","0.207909490148885","0.308194771628994","0.11561133376367"
