,project,file,rel,h_LOC,k_LOC,h_CC,k_CC,h_bfs,k_bfs,h_churn,k_churn,h_num_pre,k_num_pre,h_num_post,k_num_post,h_exp,k_exp,h_num_bugs,k_num_bugs
15255,derby,/store/access/btree/BTree.java,10.3.1.4,711,276.0,33,28.0,0,0.0,6,0,0,0,0,0.0,0.0,0.0,0,0.0
15256,derby,/store/access/btree/BTreeController.java,10.3.1.4,1391,720.0,91,91.0,0,0.0,2,0,0,0,0,0.0,0.0,0.0,0,0.0
15257,derby,/store/access/btree/BTreeCostController.java,10.3.1.4,675,202.0,22,22.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15258,derby,/store/access/btree/BTreeForwardScan.java,10.3.1.4,490,256.0,41,41.0,0,0.0,70,0,0,0,0,0.0,0.0,0.0,0,0.0
15259,derby,/store/access/btree/BTreeLockingPolicy.java,10.3.1.4,420,68.0,9,0.0,6,6.0,7,0,0,0,1,1.0,95.0,87.0,1,1.0
15260,derby,/store/access/btree/BTreeMaxScan.java,10.3.1.4,539,282.0,34,34.0,0,0.0,7,0,0,0,0,0.0,0.0,0.0,0,0.0
15261,derby,/store/access/btree/BTreePostCommit.java,10.3.1.4,388,204.0,26,26.0,244,3.0,0,0,0,0,2,1.0,93.5,87.0,1,1.0
15262,derby,/store/access/btree/BTreeRowPosition.java,10.3.1.4,115,50.0,6,6.0,0,0.0,6,0,0,0,0,0.0,0.0,0.0,0,0.0
15263,derby,/store/access/btree/BTreeScan.java,10.3.1.4,2538,1223.0,177,178.0,28,0.0,107,9,0,1,1,0.0,93.0,0.0,1,0.0
15264,derby,/store/access/btree/BTreeScanInfo.java,10.3.1.4,172,86.0,9,9.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15265,derby,/store/access/btree/BranchControlRow.java,10.3.1.4,1556,824.0,114,114.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15266,derby,/store/access/btree/BranchRow.java,10.3.1.4,256,91.0,12,12.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15267,derby,/store/access/btree/ControlRow.java,10.3.1.4,2149,1007.0,161,148.0,0,0.0,2,0,0,0,0,0.0,0.0,0.0,0,0.0
15268,derby,/store/access/btree/D_BTreeController.java,10.3.1.4,440,306.0,20,20.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15269,derby,/store/access/btree/LeafControlRow.java,10.3.1.4,1118,499.0,83,83.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15270,derby,/store/access/btree/OpenBTree.java,10.3.1.4,692,325.0,51,52.0,0,0.0,20,0,0,0,0,0.0,0.0,0.0,0,0.0
15271,derby,/store/access/btree/SearchParameters.java,10.3.1.4,205,64.0,7,7.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15272,derby,/store/access/btree/WaitError.java,10.3.1.4,33,4.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15273,derby,/access/btree/index/B2I.java,10.3.1.4,1127,559.0,52,52.0,0,0.0,12,2,2,1,0,0.0,0.0,0.0,0,0.0
15274,derby,/access/btree/index/B2IController.java,10.3.1.4,213,125.0,12,12.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15275,derby,/access/btree/index/B2ICostController.java,10.3.1.4,75,23.0,3,3.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15276,derby,/access/btree/index/B2IFactory.java,10.3.1.4,311,131.0,18,18.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15277,derby,/access/btree/index/B2IForwardScan.java,10.3.1.4,265,134.0,8,8.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15278,derby,/access/btree/index/B2IMaxScan.java,10.3.1.4,174,91.0,7,7.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15279,derby,/access/btree/index/B2INoLocking.java,10.3.1.4,284,115.0,11,11.0,0,0.0,4,0,0,0,0,0.0,0.0,0.0,0,0.0
15280,derby,/access/btree/index/B2IRowLocking1.java,10.3.1.4,196,59.0,4,4.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15281,derby,/access/btree/index/B2IRowLocking2.java,10.3.1.4,100,39.0,3,3.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15282,derby,/access/btree/index/B2IRowLocking3.java,10.3.1.4,1052,572.0,53,53.0,72,72.0,13,0,0,0,1,1.0,95.0,87.0,1,1.0
15283,derby,/access/btree/index/B2IRowLockingRR.java,10.3.1.4,161,67.0,5,5.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15284,derby,/access/btree/index/B2IStaticCompiledInfo.java,10.3.1.4,215,65.0,9,9.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15285,derby,/access/btree/index/B2ITableLocking3.java,10.3.1.4,53,19.0,2,2.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15286,derby,/access/btree/index/B2IUndo.java,10.3.1.4,330,172.0,14,14.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15287,derby,/access/btree/index/B2I_v10_2.java,10.3.1.4,162,21.0,3,3.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15288,derby,/access/btree/index/D_B2IController.java,10.3.1.4,42,5.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15289,derby,/store/access/conglomerate/BinaryOrderableWrapper.java,10.3.1.4,180,67.0,15,15.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15290,derby,/store/access/conglomerate/ConglomerateUtil.java,10.3.1.4,409,202.0,31,31.0,0,0.0,3,0,0,0,0,0.0,0.0,0.0,0,0.0
15291,derby,/store/access/conglomerate/GenericConglomerate.java,10.3.1.4,224,67.0,12,12.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15292,derby,/store/access/conglomerate/GenericConglomerateController.java,10.3.1.4,479,264.0,39,39.0,0,0.0,12,0,0,0,0,0.0,0.0,0.0,0,0.0
15293,derby,/store/access/conglomerate/GenericController.java,10.3.1.4,233,102.0,21,21.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15294,derby,/store/access/conglomerate/GenericCostController.java,10.3.1.4,132,17.0,1,1.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15295,derby,/store/access/conglomerate/GenericScanController.java,10.3.1.4,1608,715.0,117,116.0,0,0.0,18,16,0,1,0,0.0,0.0,0.0,0,0.0
15296,derby,/store/access/conglomerate/OpenConglomerate.java,10.3.1.4,921,429.0,67,65.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15297,derby,/store/access/conglomerate/OpenConglomerateScratchSpace.java,10.3.1.4,225,73.0,10,10.0,0,0.0,64,0,0,0,0,0.0,0.0,0.0,0,0.0
15298,derby,/store/access/conglomerate/RowPosition.java,10.3.1.4,122,58.0,9,9.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15299,derby,/store/access/conglomerate/TemplateRow.java,10.3.1.4,349,175.0,23,23.0,0,0.0,38,0,0,0,0,0.0,0.0,0.0,0,0.0
15300,derby,/store/access/heap/D_HeapController.java,10.3.1.4,252,162.0,10,10.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15301,derby,/store/access/heap/Heap.java,10.3.1.4,1246,636.0,64,64.0,0,0.0,4,2,1,1,0,0.0,0.0,0.0,0,0.0
15302,derby,/store/access/heap/HeapClassInfo.java,10.3.1.4,33,7.0,1,1.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15303,derby,/store/access/heap/HeapCompressScan.java,10.3.1.4,436,192.0,24,24.0,0,0.0,28,28,1,1,0,0.0,0.0,0.0,0,0.0
15304,derby,/store/access/heap/HeapConglomerateFactory.java,10.3.1.4,319,144.0,18,18.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15305,derby,/store/access/heap/HeapController.java,10.3.1.4,740,431.0,52,52.0,0,0.0,2,0,0,0,0,0.0,0.0,0.0,0,0.0
15306,derby,/store/access/heap/HeapCostController.java,10.3.1.4,394,97.0,10,10.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15307,derby,/store/access/heap/HeapPostCommit.java,10.3.1.4,394,185.0,26,26.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15308,derby,/store/access/heap/HeapRowLocation.java,10.3.1.4,408,189.0,41,41.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15309,derby,/store/access/heap/HeapScan.java,10.3.1.4,432,200.0,25,25.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15310,derby,/store/access/heap/HeapScanInfo.java,10.3.1.4,143,63.0,8,8.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15311,derby,/store/access/heap/Heap_v10_2.java,10.3.1.4,136,21.0,3,3.0,0,0.0,58,58,1,1,0,0.0,0.0,0.0,0,0.0
15312,derby,/store/access/heap/OpenHeap.java,10.3.1.4,82,23.0,3,3.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15313,derby,/store/access/sort/ExternalSortFactory.java,10.3.1.4,379,163.0,24,24.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15314,derby,/store/access/sort/MergeInserter.java,10.3.1.4,299,152.0,22,22.0,0,0.0,24,0,0,0,0,0.0,0.0,0.0,0,0.0
15315,derby,/store/access/sort/MergeScan.java,10.3.1.4,246,122.0,19,19.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15316,derby,/store/access/sort/MergeScanRowSource.java,10.3.1.4,140,61.0,10,10.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15317,derby,/store/access/sort/MergeSort.java,10.3.1.4,768,390.0,59,59.0,0,0.0,32,0,0,0,0,0.0,0.0,0.0,0,0.0
15318,derby,/store/access/sort/MergeSortInfo.java,10.3.1.4,170,50.0,5,5.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15319,derby,/store/access/sort/Node.java,10.3.1.4,104,68.0,12,12.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15320,derby,/store/access/sort/NodeAllocator.java,10.3.1.4,185,95.0,22,22.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15321,derby,/store/access/sort/Scan.java,10.3.1.4,399,155.0,22,22.0,0,0.0,0,10,0,1,0,0.0,0.0,0.0,0,0.0
15322,derby,/store/access/sort/SortBuffer.java,10.3.1.4,715,406.0,77,77.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15323,derby,/store/access/sort/SortBufferRowSource.java,10.3.1.4,206,105.0,18,18.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15324,derby,/store/access/sort/SortBufferScan.java,10.3.1.4,113,52.0,8,8.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15325,derby,/store/access/sort/SortScan.java,10.3.1.4,186,55.0,8,8.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15326,derby,/impl/store/raw/RawStore.java,10.3.1.4,2563,1535.0,239,239.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15327,derby,/store/raw/data/AllocExtent.java,10.3.1.4,1064,591.0,116,116.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15328,derby,/store/raw/data/AllocPage.java,10.3.1.4,1098,511.0,93,93.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15329,derby,/store/raw/data/AllocPageOperation.java,10.3.1.4,171,85.0,13,13.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15330,derby,/store/raw/data/AllocationActions.java,10.3.1.4,101,17.0,3,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15331,derby,/store/raw/data/AllocationCache.java,10.3.1.4,704,504.0,109,109.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15332,derby,/store/raw/data/BaseContainer.java,10.3.1.4,928,383.0,91,60.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15333,derby,/store/raw/data/BaseContainerHandle.java,10.3.1.4,1063,496.0,91,91.0,0,0.0,63,63,1,1,0,0.0,0.0,0.0,0,0.0
15334,derby,/store/raw/data/BaseDataFileFactory.java,10.3.1.4,2847,1788.0,282,282.0,12,0.0,238,470,2,3,1,0.0,161.0,0.0,1,0.0
15335,derby,/store/raw/data/BaseDataFileFactoryJ4.java,10.3.1.4,47,9.0,2,2.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
