project,major,minor,hash
accumulo,1.0,6.0,e4b08b17ff0f42db6ba64f79cd277a918fe6fc23
accumulo,1.0,6.0,2eac2c47dcd8c9ed201eadefa6cbfaa9100406d3
accumulo,1.0,6.0,5b76a6ddbffb9edea17965c9ec9775fe9b23e252
accumulo,1.0,6.0,42bd4ab83bd3bd3d68ac3d968136ebdbc6f0a4b8
accumulo,1.0,6.0,0bbdddd02904b794defaf7e18c5f831802dfc161
accumulo,1.0,6.0,e7d54d335e7192c612d5d121ee6b8ebd5b968cc8
accumulo,1.0,6.0,e56e801194c640b20f7962564f44ab1e06ff72ef
accumulo,1.0,6.0,3648c1bd3d4018ad13e14091aef237f5b5eac1ad
accumulo,1.0,6.0,4d53f2e5513f944e220fffbaa603a0e460760fdb
accumulo,1.0,6.0,856e98eb27fb411d06664102a882ce46031690a6
accumulo,1.0,6.0,7980fd75b3b36153bb1e623b77236768ac2a7aca
accumulo,1.0,6.0,ce6811654385c378f3fd2a5a904b1477646babd8
accumulo,1.0,6.0,aa6090c4d320637b236572b1d8e0bf6506d385fb
accumulo,1.0,6.0,1be8134cf69c39d8d81b99e3da13c4b994c1e2cf
accumulo,1.0,6.0,8aedbe6ca6cc75bfb254950670d88e67cbe24a2a
accumulo,1.0,6.0,e5d10032fcd3d352b45355c8fa32df293755e6ea
accumulo,1.0,6.0,94e8d21e3b479c5dfb3393bbe9cad18fa1be3d2c
accumulo,1.0,6.0,56773eba5afe32640b0201d346145c3d9885dac5
accumulo,1.0,6.0,ecfdf8d7c7f07b773edabf9de79ac1d60b33bd9c
accumulo,1.0,6.0,7545662db44ba2ecabf0e4f2122802ee9af4494a
accumulo,1.0,6.0,9fb7417ba6bfb6a59816ab4549b746abe22f4e7e
accumulo,1.0,6.0,1f15e490890fc133e42b20030334344bd017198e
accumulo,1.0,6.0,d0f0a62ecf7445621fc85b94503b90d080c2de7d
accumulo,1.0,6.0,9b15ce954e0f4c4365aa3f37f640d2694b9ccc65
accumulo,1.0,6.0,3056d89f291f3172f7b4e2c106af30574fc22d2f
accumulo,1.0,6.0,73fae6368f414d4b57aa82a0df50437ca11de462
