project,id,bfs,exp,priority,cost
accumulo,ACCUMULO-2519,2,0.0,5.0,0.0
accumulo,ACCUMULO-2519,14,0.0,5.0,0.0
accumulo,ACCUMULO-2659,3,157.0,5.0,2355.0
accumulo,ACCUMULO-2659,23,247.0,5.0,28405.0
accumulo,ACCUMULO-2659,27,108.0,5.0,14580.0
accumulo,ACCUMULO-3218,2,157.0,5.0,1570.0
accumulo,ACCUMULO-3132,19,418.0,5.0,39710.0
accumulo,ACCUMULO-3132,13,418.0,5.0,27170.0
accumulo,ACCUMULO-3132,25,418.0,5.0,52250.0
accumulo,ACCUMULO-3312,2,157.0,5.0,1570.0
accumulo,ACCUMULO-2974,2,157.0,5.0,1570.0
accumulo,ACCUMULO-2974,26,157.0,5.0,20410.0
accumulo,ACCUMULO-3158,34,157.0,5.0,26690.0
accumulo,ACCUMULO-3038,55,418.0,5.0,114950.0
accumulo,ACCUMULO-3013,1,60.0,5.0,300.0
accumulo,ACCUMULO-3013,3,23.0,5.0,345.0
accumulo,ACCUMULO-2985,8,23.0,5.0,920.0
accumulo,ACCUMULO-2985,5,23.0,5.0,575.0
accumulo,ACCUMULO-3006,5,418.0,5.0,10450.0
accumulo,ACCUMULO-3006,23,418.0,5.0,48070.0
accumulo,ACCUMULO-3047,8,418.0,5.0,16720.0
accumulo,ACCUMULO-3007,5,247.0,5.0,6175.0
accumulo,ACCUMULO-3003,4,418.0,5.0,8360.0
accumulo,ACCUMULO-2719,4,418.0,5.0,8360.0
accumulo,ACCUMULO-2935,2,157.0,5.0,1570.0
accumulo,ACCUMULO-2935,2,157.0,5.0,1570.0
accumulo,ACCUMULO-2791,1,108.0,5.0,540.0
accumulo,ACCUMULO-2791,2,28.0,5.0,280.0
accumulo,ACCUMULO-2899,11,28.0,5.0,1540.0
accumulo,ACCUMULO-2566,27,0.0,5.0,0.0
accumulo,ACCUMULO-2566,5,0.0,5.0,0.0
accumulo,ACCUMULO-2700,8,108.0,5.0,4320.0
accumulo,ACCUMULO-2713,10,190.0,5.0,9500.0
accumulo,ACCUMULO-2713,1,190.0,5.0,950.0
accumulo,ACCUMULO-2668,6,1.0,5.0,30.0
accumulo,ACCUMULO-2651,1,108.0,5.0,540.0
accumulo,ACCUMULO-2651,2,108.0,5.0,1080.0
accumulo,ACCUMULO-2540,2,0.0,5.0,0.0
accumulo,ACCUMULO-2540,2,0.0,5.0,0.0
accumulo,ACCUMULO-2928,107,23.0,4.0,9844.0
accumulo,ACCUMULO-3301,21,157.0,4.0,13188.0
accumulo,ACCUMULO-3055,11,23.0,4.0,1012.0
accumulo,ACCUMULO-3055,16,23.0,4.0,1472.0
accumulo,ACCUMULO-3055,9,23.0,4.0,828.0
accumulo,ACCUMULO-3055,40,23.0,4.0,3680.0
accumulo,ACCUMULO-3215,5,157.0,4.0,3140.0
accumulo,ACCUMULO-3215,5,108.0,4.0,2160.0
accumulo,ACCUMULO-3215,23,157.0,4.0,14444.0
accumulo,ACCUMULO-3217,4,23.0,4.0,368.0
accumulo,ACCUMULO-3217,14,23.0,4.0,1288.0
accumulo,ACCUMULO-3143,2,10.0,4.0,80.0
accumulo,ACCUMULO-2694,1,402.0,4.0,1608.0
accumulo,ACCUMULO-2694,10,23.0,4.0,920.0
accumulo,ACCUMULO-2694,9,0.0,4.0,0.0
accumulo,ACCUMULO-2694,8,0.0,4.0,0.0
accumulo,ACCUMULO-2694,4,0.0,4.0,0.0
accumulo,ACCUMULO-2967,3,60.0,4.0,720.0
accumulo,ACCUMULO-2967,3,402.0,4.0,4824.0
accumulo,ACCUMULO-2967,14,0.0,4.0,0.0
accumulo,ACCUMULO-2962,16,23.0,4.0,1472.0
accumulo,ACCUMULO-2767,4,23.0,4.0,368.0
accumulo,ACCUMULO-2767,66,23.0,4.0,6072.0
accumulo,ACCUMULO-2796,8,0.0,4.0,0.0
accumulo,ACCUMULO-2888,1,402.0,4.0,1608.0
accumulo,ACCUMULO-2766,60,201.0,4.0,48240.0
accumulo,ACCUMULO-2748,4,0.0,4.0,0.0
accumulo,ACCUMULO-2520,2,84.0,4.0,672.0
accumulo,ACCUMULO-2520,17,84.0,4.0,5712.0
accumulo,ACCUMULO-2520,48,84.0,4.0,16128.0
accumulo,ACCUMULO-2487,128,108.0,4.0,55296.0
accumulo,ACCUMULO-2487,6,418.0,4.0,10032.0
accumulo,ACCUMULO-2487,54,28.0,4.0,6048.0
accumulo,ACCUMULO-2489,1,23.0,4.0,92.0
accumulo,ACCUMULO-2489,24,23.0,4.0,2208.0
accumulo,ACCUMULO-2489,1,23.0,4.0,92.0
accumulo,ACCUMULO-2513,24,1.0,4.0,96.0
accumulo,ACCUMULO-3182,2,418.0,3.0,2508.0
accumulo,ACCUMULO-3182,4,108.0,3.0,1296.0
accumulo,ACCUMULO-3182,3,157.0,3.0,1413.0
accumulo,ACCUMULO-3182,10,108.0,3.0,3240.0
accumulo,ACCUMULO-3182,66,157.0,3.0,31086.0
accumulo,ACCUMULO-3102,2,0.0,3.0,0.0
accumulo,ACCUMULO-3101,4,0.0,3.0,0.0
accumulo,ACCUMULO-3011,9,418.0,3.0,11286.0
accumulo,ACCUMULO-3008,3,23.0,3.0,207.0
accumulo,ACCUMULO-3008,6,23.0,3.0,414.0
accumulo,ACCUMULO-3008,2,23.0,3.0,138.0
accumulo,ACCUMULO-3008,2,23.0,3.0,138.0
accumulo,ACCUMULO-3213,8,157.0,3.0,3768.0
accumulo,ACCUMULO-3213,1,157.0,3.0,471.0
accumulo,ACCUMULO-3213,7,157.0,3.0,3297.0
accumulo,ACCUMULO-3213,3,157.0,3.0,1413.0
accumulo,ACCUMULO-3213,28,157.0,3.0,13188.0
accumulo,ACCUMULO-3213,156,157.0,3.0,73476.0
accumulo,ACCUMULO-3213,6,157.0,3.0,2826.0
accumulo,ACCUMULO-3213,1,157.0,3.0,471.0
accumulo,ACCUMULO-3213,30,157.0,3.0,14130.0
accumulo,ACCUMULO-3111,28,87.0,3.0,7308.0
accumulo,ACCUMULO-3100,1,418.0,3.0,1254.0
accumulo,ACCUMULO-3100,2,157.0,3.0,942.0
accumulo,ACCUMULO-3242,4,157.0,3.0,1884.0
accumulo,ACCUMULO-3242,2,157.0,3.0,942.0
accumulo,ACCUMULO-3242,1,157.0,3.0,471.0
accumulo,ACCUMULO-3242,16,157.0,3.0,7536.0
accumulo,ACCUMULO-3242,27,157.0,3.0,12717.0
accumulo,ACCUMULO-3242,35,157.0,3.0,16485.0
accumulo,ACCUMULO-3242,20,157.0,3.0,9420.0
accumulo,ACCUMULO-3242,20,157.0,3.0,9420.0
accumulo,ACCUMULO-3181,4,0.0,3.0,0.0
accumulo,ACCUMULO-3120,7,2.0,3.0,42.0
accumulo,ACCUMULO-3297,35,418.0,3.0,43890.0
accumulo,ACCUMULO-3297,35,418.0,3.0,43890.0
accumulo,ACCUMULO-3305,38,157.0,3.0,17898.0
accumulo,ACCUMULO-3292,4,157.0,3.0,1884.0
accumulo,ACCUMULO-3292,4,157.0,3.0,1884.0
accumulo,ACCUMULO-3292,26,157.0,3.0,12246.0
accumulo,ACCUMULO-3296,3,157.0,3.0,1413.0
accumulo,ACCUMULO-3264,5,157.0,3.0,2355.0
accumulo,ACCUMULO-3261,4,23.0,3.0,276.0
accumulo,ACCUMULO-3229,2,60.0,3.0,360.0
accumulo,ACCUMULO-3146,3,157.0,3.0,1413.0
accumulo,ACCUMULO-3146,30,157.0,3.0,14130.0
accumulo,ACCUMULO-3189,4,247.0,3.0,2964.0
accumulo,ACCUMULO-3183,25,247.0,3.0,18525.0
accumulo,ACCUMULO-3135,2,60.0,3.0,360.0
accumulo,ACCUMULO-3135,663,23.0,3.0,45747.0
accumulo,ACCUMULO-3138,9,157.0,3.0,4239.0
accumulo,ACCUMULO-3138,21,157.0,3.0,9891.0
accumulo,ACCUMULO-3180,39,23.0,3.0,2691.0
accumulo,ACCUMULO-3030,16,418.0,3.0,20064.0
accumulo,ACCUMULO-3140,24,201.0,3.0,14472.0
accumulo,ACCUMULO-3148,58,157.0,3.0,27318.0
accumulo,ACCUMULO-3150,1,23.0,3.0,69.0
accumulo,ACCUMULO-3139,13,157.0,3.0,6123.0
accumulo,ACCUMULO-3139,7,157.0,3.0,3297.0
accumulo,ACCUMULO-3078,9,157.0,3.0,4239.0
accumulo,ACCUMULO-3078,2,108.0,3.0,648.0
accumulo,ACCUMULO-3078,1,108.0,3.0,324.0
accumulo,ACCUMULO-3078,2,418.0,3.0,2508.0
accumulo,ACCUMULO-3078,9,87.0,3.0,2349.0
accumulo,ACCUMULO-3136,27,157.0,3.0,12717.0
accumulo,ACCUMULO-2645,9,108.0,3.0,2916.0
accumulo,ACCUMULO-2645,5,418.0,3.0,6270.0
accumulo,ACCUMULO-2645,65,418.0,3.0,81510.0
accumulo,ACCUMULO-3093,1,108.0,3.0,324.0
accumulo,ACCUMULO-3093,1,418.0,3.0,1254.0
accumulo,ACCUMULO-3093,58,0.0,3.0,0.0
accumulo,ACCUMULO-3104,5,157.0,3.0,2355.0
accumulo,ACCUMULO-3096,5,201.0,3.0,3015.0
accumulo,ACCUMULO-3084,2,402.0,3.0,2412.0
accumulo,ACCUMULO-3017,16,157.0,3.0,7536.0
accumulo,ACCUMULO-3070,2,157.0,3.0,942.0
accumulo,ACCUMULO-3025,2,418.0,3.0,2508.0
accumulo,ACCUMULO-3025,4,418.0,3.0,5016.0
accumulo,ACCUMULO-3043,11,157.0,3.0,5181.0
accumulo,ACCUMULO-3024,7,418.0,3.0,8778.0
accumulo,ACCUMULO-3024,16,418.0,3.0,20064.0
accumulo,ACCUMULO-3015,9,23.0,3.0,621.0
accumulo,ACCUMULO-3016,7,23.0,3.0,483.0
accumulo,ACCUMULO-2919,4,23.0,3.0,276.0
accumulo,ACCUMULO-2764,61,23.0,3.0,4209.0
accumulo,ACCUMULO-2956,22,108.0,3.0,7128.0
accumulo,ACCUMULO-2658,1,23.0,3.0,69.0
accumulo,ACCUMULO-2930,4,0.0,3.0,0.0
accumulo,ACCUMULO-2926,2,157.0,3.0,942.0
accumulo,ACCUMULO-2836,19,0.0,3.0,0.0
accumulo,ACCUMULO-2854,150,0.0,3.0,0.0
accumulo,ACCUMULO-2787,6,30.0,3.0,540.0
accumulo,ACCUMULO-2874,6,402.0,3.0,7236.0
accumulo,ACCUMULO-2869,18,157.0,3.0,8478.0
accumulo,ACCUMULO-2857,1,23.0,3.0,69.0
accumulo,ACCUMULO-2857,4,23.0,3.0,276.0
accumulo,ACCUMULO-2852,3,0.0,3.0,0.0
accumulo,ACCUMULO-2761,2,0.0,3.0,0.0
accumulo,ACCUMULO-2761,2,0.0,3.0,0.0
accumulo,ACCUMULO-2831,19,0.0,3.0,0.0
accumulo,ACCUMULO-2785,44,23.0,3.0,3036.0
accumulo,ACCUMULO-2818,6,60.0,3.0,1080.0
accumulo,ACCUMULO-2813,19,157.0,3.0,8949.0
accumulo,ACCUMULO-2768,14,0.0,3.0,0.0
accumulo,ACCUMULO-2790,4,0.0,3.0,0.0
accumulo,ACCUMULO-2660,22,30.0,3.0,1980.0
accumulo,ACCUMULO-2749,6,418.0,3.0,7524.0
accumulo,ACCUMULO-2765,48,30.0,3.0,4320.0
accumulo,ACCUMULO-2756,1,108.0,3.0,324.0
accumulo,ACCUMULO-2756,4,108.0,3.0,1296.0
accumulo,ACCUMULO-2742,31,30.0,3.0,2790.0
accumulo,ACCUMULO-2675,112,108.0,3.0,36288.0
accumulo,ACCUMULO-2671,19,190.0,3.0,10830.0
accumulo,ACCUMULO-2671,17,190.0,3.0,9690.0
accumulo,ACCUMULO-2695,21,247.0,3.0,15561.0
accumulo,ACCUMULO-2733,1,28.0,3.0,84.0
accumulo,ACCUMULO-2733,9,28.0,3.0,756.0
accumulo,ACCUMULO-2729,10,247.0,3.0,7410.0
accumulo,ACCUMULO-2716,6,0.0,3.0,0.0
accumulo,ACCUMULO-2690,12,190.0,3.0,6840.0
accumulo,ACCUMULO-2690,10,190.0,3.0,5700.0
accumulo,ACCUMULO-2665,7,157.0,3.0,3297.0
accumulo,ACCUMULO-2494,4,0.0,3.0,0.0
accumulo,ACCUMULO-2494,4,0.0,3.0,0.0
accumulo,ACCUMULO-2494,8,402.0,3.0,9648.0
accumulo,ACCUMULO-2494,4,402.0,3.0,4824.0
accumulo,ACCUMULO-2494,16,402.0,3.0,19296.0
accumulo,ACCUMULO-2494,82,0.0,3.0,0.0
accumulo,ACCUMULO-2648,1,60.0,3.0,180.0
accumulo,ACCUMULO-2539,94,0.0,3.0,0.0
accumulo,ACCUMULO-2544,12,0.0,3.0,0.0
accumulo,ACCUMULO-2526,24,107.0,3.0,7704.0
accumulo,ACCUMULO-2515,24,157.0,3.0,11304.0
accumulo,ACCUMULO-2512,17,0.0,3.0,0.0
accumulo,ACCUMULO-2484,9,157.0,3.0,4239.0
accumulo,ACCUMULO-3314,48,157.0,2.0,15072.0
accumulo,ACCUMULO-3286,100,157.0,2.0,31400.0
accumulo,ACCUMULO-3286,12,157.0,2.0,3768.0
accumulo,ACCUMULO-3290,5,157.0,2.0,1570.0
accumulo,ACCUMULO-3280,5,108.0,2.0,1080.0
accumulo,ACCUMULO-3230,2,23.0,2.0,92.0
accumulo,ACCUMULO-3194,11,157.0,2.0,3454.0
accumulo,ACCUMULO-3187,3,157.0,2.0,942.0
accumulo,ACCUMULO-3113,18,157.0,2.0,5652.0
accumulo,ACCUMULO-3112,151,157.0,2.0,47414.0
accumulo,ACCUMULO-2714,4,157.0,2.0,1256.0
accumulo,ACCUMULO-3098,14,418.0,2.0,11704.0
accumulo,ACCUMULO-3075,10,157.0,2.0,3140.0
accumulo,ACCUMULO-3074,2,157.0,2.0,628.0
accumulo,ACCUMULO-3076,10,157.0,2.0,3140.0
accumulo,ACCUMULO-3069,14,157.0,2.0,4396.0
accumulo,ACCUMULO-3010,2,418.0,2.0,1672.0
accumulo,ACCUMULO-3010,2,418.0,2.0,1672.0
accumulo,ACCUMULO-3010,14,418.0,2.0,11704.0
accumulo,ACCUMULO-3010,2,418.0,2.0,1672.0
accumulo,ACCUMULO-3026,13,418.0,2.0,10868.0
accumulo,ACCUMULO-2636,2,0.0,2.0,0.0
accumulo,ACCUMULO-2870,13,23.0,2.0,598.0
accumulo,ACCUMULO-2908,2,30.0,2.0,120.0
accumulo,ACCUMULO-2940,56,23.0,2.0,2576.0
accumulo,ACCUMULO-2896,5,30.0,2.0,300.0
accumulo,ACCUMULO-2824,6,0.0,2.0,0.0
accumulo,ACCUMULO-2549,19,0.0,2.0,0.0
accumulo,ACCUMULO-2747,2,0.0,2.0,0.0
accumulo,ACCUMULO-2891,6,30.0,2.0,360.0
accumulo,ACCUMULO-2864,3,0.0,2.0,0.0
accumulo,ACCUMULO-2774,2,157.0,2.0,628.0
accumulo,ACCUMULO-2774,7,0.0,2.0,0.0
accumulo,ACCUMULO-2758,6,0.0,2.0,0.0
accumulo,ACCUMULO-2811,4,0.0,2.0,0.0
accumulo,ACCUMULO-2523,4,0.0,2.0,0.0
accumulo,ACCUMULO-2717,12,418.0,2.0,10032.0
accumulo,ACCUMULO-2752,5,157.0,2.0,1570.0
accumulo,ACCUMULO-2682,4,108.0,2.0,864.0
accumulo,ACCUMULO-2723,2,108.0,2.0,432.0
accumulo,ACCUMULO-2631,21,23.0,2.0,966.0
accumulo,ACCUMULO-2586,7,23.0,2.0,322.0
accumulo,ACCUMULO-2586,26,23.0,2.0,1196.0
accumulo,ACCUMULO-2617,4,23.0,2.0,184.0
accumulo,ACCUMULO-3152,2,418.0,1.0,836.0
accumulo,ACCUMULO-3152,2,418.0,1.0,836.0
accumulo,ACCUMULO-3298,4,157.0,1.0,628.0
accumulo,ACCUMULO-3244,10,418.0,1.0,4180.0
accumulo,ACCUMULO-3190,4,108.0,1.0,432.0
accumulo,ACCUMULO-3085,2,23.0,1.0,46.0
accumulo,ACCUMULO-3157,34,23.0,1.0,782.0
accumulo,ACCUMULO-3157,42,0.0,1.0,0.0
accumulo,ACCUMULO-3155,6,23.0,1.0,138.0
accumulo,ACCUMULO-3153,2,418.0,1.0,836.0
accumulo,ACCUMULO-3144,12,157.0,1.0,1884.0
accumulo,ACCUMULO-3145,89,157.0,1.0,13973.0
accumulo,ACCUMULO-3119,1,60.0,1.0,60.0
accumulo,ACCUMULO-3119,1,60.0,1.0,60.0
accumulo,ACCUMULO-3109,8,157.0,1.0,1256.0
accumulo,ACCUMULO-3108,3,157.0,1.0,471.0
accumulo,ACCUMULO-3108,3,157.0,1.0,471.0
accumulo,ACCUMULO-3108,8,157.0,1.0,1256.0
accumulo,ACCUMULO-3062,6,157.0,1.0,942.0
accumulo,ACCUMULO-2991,12,157.0,1.0,1884.0
accumulo,ACCUMULO-2704,9,418.0,1.0,3762.0
accumulo,ACCUMULO-3039,2,418.0,1.0,836.0
accumulo,ACCUMULO-3046,4,418.0,1.0,1672.0
accumulo,ACCUMULO-2722,5,23.0,1.0,115.0
accumulo,ACCUMULO-2948,31,23.0,1.0,713.0
accumulo,ACCUMULO-2906,2,0.0,1.0,0.0
accumulo,ACCUMULO-2890,8,0.0,1.0,0.0
accumulo,ACCUMULO-2686,3,108.0,1.0,324.0
accumulo,ACCUMULO-2667,3,40.0,1.0,120.0
accumulo,ACCUMULO-2667,3,418.0,1.0,1254.0
accumulo,ACCUMULO-2524,10,0.0,1.0,0.0
accumulo,ACCUMULO-2524,3,0.0,1.0,0.0
accumulo,ACCUMULO-1628,20,201.0,5.0,20100.0
accumulo,ACCUMULO-1628,2,201.0,5.0,2010.0
accumulo,ACCUMULO-1264,51,0.0,5.0,0.0
accumulo,ACCUMULO-1264,1,402.0,5.0,2010.0
accumulo,ACCUMULO-1264,7,402.0,5.0,14070.0
accumulo,ACCUMULO-1264,27,402.0,5.0,54270.0
accumulo,ACCUMULO-1264,7,402.0,5.0,14070.0
accumulo,ACCUMULO-1264,2,402.0,5.0,4020.0
accumulo,ACCUMULO-1264,8,402.0,5.0,16080.0
accumulo,ACCUMULO-1010,16,0.0,5.0,0.0
accumulo,ACCUMULO-1010,24,201.0,5.0,24120.0
accumulo,ACCUMULO-1010,3,201.0,5.0,3015.0
accumulo,ACCUMULO-1010,104,201.0,5.0,104520.0
accumulo,ACCUMULO-1010,4,201.0,5.0,4020.0
accumulo,ACCUMULO-2360,1,107.0,5.0,535.0
accumulo,ACCUMULO-1925,6,190.0,5.0,5700.0
accumulo,ACCUMULO-1538,16,10.0,5.0,800.0
accumulo,ACCUMULO-1998,2,145.0,5.0,1450.0
accumulo,ACCUMULO-1998,2,190.0,5.0,1900.0
accumulo,ACCUMULO-1998,6,190.0,5.0,5700.0
accumulo,ACCUMULO-1998,2,190.0,5.0,1900.0
accumulo,ACCUMULO-2234,2,0.0,5.0,0.0
accumulo,ACCUMULO-2234,2,0.0,5.0,0.0
accumulo,ACCUMULO-2234,9,0.0,5.0,0.0
accumulo,ACCUMULO-2234,11,0.0,5.0,0.0
accumulo,ACCUMULO-2234,2,0.0,5.0,0.0
accumulo,ACCUMULO-2234,11,0.0,5.0,0.0
accumulo,ACCUMULO-1920,13,0.0,5.0,0.0
accumulo,ACCUMULO-1920,14,0.0,5.0,0.0
accumulo,ACCUMULO-822,2,402.0,5.0,4020.0
accumulo,ACCUMULO-1161,2,107.0,5.0,1070.0
accumulo,ACCUMULO-1161,2,107.0,5.0,1070.0
accumulo,ACCUMULO-1161,6,107.0,5.0,3210.0
accumulo,ACCUMULO-2078,2,0.0,5.0,0.0
accumulo,ACCUMULO-1976,5,108.0,5.0,2700.0
accumulo,ACCUMULO-2128,11,0.0,5.0,0.0
accumulo,ACCUMULO-2128,153,84.0,5.0,64260.0
accumulo,ACCUMULO-2128,32,0.0,5.0,0.0
accumulo,ACCUMULO-2128,102,84.0,5.0,42840.0
accumulo,ACCUMULO-2128,254,84.0,5.0,106680.0
accumulo,ACCUMULO-1900,2,0.0,5.0,0.0
accumulo,ACCUMULO-1952,2,23.0,5.0,230.0
accumulo,ACCUMULO-1947,16,23.0,5.0,1840.0
accumulo,ACCUMULO-1947,2,23.0,5.0,230.0
accumulo,ACCUMULO-1672,2,0.0,5.0,0.0
accumulo,ACCUMULO-1672,2,0.0,5.0,0.0
accumulo,ACCUMULO-1672,6,2.0,5.0,60.0
accumulo,ACCUMULO-1672,7,2.0,5.0,70.0
accumulo,ACCUMULO-1672,2,201.0,5.0,2010.0
accumulo,ACCUMULO-1843,2,157.0,5.0,1570.0
accumulo,ACCUMULO-1867,5,145.0,5.0,3625.0
accumulo,ACCUMULO-1841,34,108.0,5.0,18360.0
accumulo,ACCUMULO-1842,2,157.0,5.0,1570.0
accumulo,ACCUMULO-1814,10,3.0,5.0,150.0
accumulo,ACCUMULO-1814,2,145.0,5.0,1450.0
accumulo,ACCUMULO-1714,5,190.0,5.0,4750.0
accumulo,ACCUMULO-1714,28,190.0,5.0,26600.0
accumulo,ACCUMULO-1572,4,0.0,5.0,0.0
accumulo,ACCUMULO-1572,81,0.0,5.0,0.0
accumulo,ACCUMULO-1572,5,0.0,5.0,0.0
accumulo,ACCUMULO-1784,2,0.0,5.0,0.0
accumulo,ACCUMULO-1141,23,402.0,5.0,46230.0
accumulo,ACCUMULO-1384,115,60.0,5.0,34500.0
accumulo,ACCUMULO-1384,2,402.0,5.0,4020.0
accumulo,ACCUMULO-1384,6,60.0,5.0,1800.0
accumulo,ACCUMULO-1384,6,60.0,5.0,1800.0
accumulo,ACCUMULO-1235,2,84.0,5.0,840.0
accumulo,ACCUMULO-1235,8,119.0,5.0,4760.0
accumulo,ACCUMULO-919,14,402.0,5.0,28140.0
accumulo,ACCUMULO-919,9,402.0,5.0,18090.0
accumulo,ACCUMULO-919,11,402.0,5.0,22110.0
accumulo,ACCUMULO-919,35,3.0,5.0,525.0
accumulo,ACCUMULO-919,25,402.0,5.0,50250.0
accumulo,ACCUMULO-919,21,402.0,5.0,42210.0
accumulo,ACCUMULO-919,4,402.0,5.0,8040.0
accumulo,ACCUMULO-919,18,402.0,5.0,36180.0
accumulo,ACCUMULO-919,13,402.0,5.0,26130.0
accumulo,ACCUMULO-1077,2,201.0,5.0,2010.0
accumulo,ACCUMULO-1086,6,402.0,5.0,12060.0
accumulo,ACCUMULO-1120,4,107.0,5.0,2140.0
accumulo,ACCUMULO-636,3,402.0,5.0,6030.0
accumulo,ACCUMULO-636,1,402.0,5.0,2010.0
accumulo,ACCUMULO-636,2,402.0,5.0,4020.0
accumulo,ACCUMULO-636,27,402.0,5.0,54270.0
accumulo,ACCUMULO-1081,5,201.0,5.0,5025.0
accumulo,ACCUMULO-1081,5,23.0,5.0,575.0
accumulo,ACCUMULO-1060,3,107.0,5.0,1605.0
accumulo,ACCUMULO-1032,44,402.0,5.0,88440.0
accumulo,ACCUMULO-906,3,119.0,5.0,1785.0
accumulo,ACCUMULO-766,7,119.0,5.0,4165.0
accumulo,ACCUMULO-766,1,119.0,5.0,595.0
accumulo,ACCUMULO-766,1,119.0,5.0,595.0
accumulo,ACCUMULO-800,2,119.0,5.0,1190.0
accumulo,ACCUMULO-800,2,119.0,5.0,1190.0
accumulo,ACCUMULO-806,20,84.0,5.0,8400.0
accumulo,ACCUMULO-806,20,84.0,5.0,8400.0
accumulo,ACCUMULO-681,14,119.0,5.0,8330.0
accumulo,ACCUMULO-681,1,119.0,5.0,595.0
accumulo,ACCUMULO-681,1,119.0,5.0,595.0
accumulo,ACCUMULO-681,2,119.0,5.0,1190.0
accumulo,ACCUMULO-623,3,201.0,5.0,3015.0
accumulo,ACCUMULO-623,8,201.0,5.0,8040.0
accumulo,ACCUMULO-427,13,84.0,5.0,5460.0
accumulo,ACCUMULO-427,13,84.0,5.0,5460.0
accumulo,ACCUMULO-206,2,48.0,5.0,480.0
accumulo,ACCUMULO-1105,2,402.0,4.0,3216.0
accumulo,ACCUMULO-1105,2,402.0,4.0,3216.0
accumulo,ACCUMULO-1105,2,402.0,4.0,3216.0
accumulo,ACCUMULO-1105,12,402.0,4.0,19296.0
accumulo,ACCUMULO-2361,2,0.0,4.0,0.0
accumulo,ACCUMULO-2361,100,0.0,4.0,0.0
accumulo,ACCUMULO-2361,1,0.0,4.0,0.0
accumulo,ACCUMULO-2361,100,0.0,4.0,0.0
accumulo,ACCUMULO-2361,2,0.0,4.0,0.0
accumulo,ACCUMULO-2361,2,0.0,4.0,0.0
accumulo,ACCUMULO-2057,5,0.0,4.0,0.0
accumulo,ACCUMULO-2057,2,0.0,4.0,0.0
accumulo,ACCUMULO-2057,17,0.0,4.0,0.0
accumulo,ACCUMULO-2057,254,0.0,4.0,0.0
accumulo,ACCUMULO-2057,8,0.0,4.0,0.0
accumulo,ACCUMULO-2057,4,0.0,4.0,0.0
accumulo,ACCUMULO-2443,2,0.0,4.0,0.0
accumulo,ACCUMULO-1859,76,247.0,4.0,75088.0
accumulo,ACCUMULO-1859,16,247.0,4.0,15808.0
accumulo,ACCUMULO-2460,3,247.0,4.0,2964.0
accumulo,ACCUMULO-2460,2,247.0,4.0,1976.0
accumulo,ACCUMULO-2408,12,0.0,4.0,0.0
accumulo,ACCUMULO-2422,43,0.0,4.0,0.0
accumulo,ACCUMULO-2422,63,0.0,4.0,0.0
accumulo,ACCUMULO-1905,2,247.0,4.0,1976.0
accumulo,ACCUMULO-1905,5,247.0,4.0,4940.0
accumulo,ACCUMULO-2087,16,190.0,4.0,12160.0
accumulo,ACCUMULO-2087,16,157.0,4.0,10048.0
accumulo,ACCUMULO-2087,18,157.0,4.0,11304.0
accumulo,ACCUMULO-1940,2,0.0,4.0,0.0
accumulo,ACCUMULO-1591,4,28.0,4.0,448.0
accumulo,ACCUMULO-2266,9,107.0,4.0,3852.0
accumulo,ACCUMULO-2152,8,0.0,4.0,0.0
accumulo,ACCUMULO-2142,4,157.0,4.0,2512.0
accumulo,ACCUMULO-2075,5,145.0,4.0,2900.0
accumulo,ACCUMULO-2075,2,145.0,4.0,1160.0
accumulo,ACCUMULO-2065,6,23.0,4.0,552.0
accumulo,ACCUMULO-2025,2,190.0,4.0,1520.0
accumulo,ACCUMULO-2025,6,190.0,4.0,4560.0
accumulo,ACCUMULO-2025,2,190.0,4.0,1520.0
accumulo,ACCUMULO-1830,4,145.0,4.0,2320.0
accumulo,ACCUMULO-1830,9,145.0,4.0,5220.0
accumulo,ACCUMULO-1942,9,60.0,4.0,2160.0
accumulo,ACCUMULO-1062,2,119.0,4.0,952.0
accumulo,ACCUMULO-1062,2,119.0,4.0,952.0
accumulo,ACCUMULO-1062,2,119.0,4.0,952.0
accumulo,ACCUMULO-1062,2,119.0,4.0,952.0
accumulo,ACCUMULO-1062,32,119.0,4.0,15232.0
accumulo,ACCUMULO-1062,34,119.0,4.0,16184.0
accumulo,ACCUMULO-1637,57,23.0,4.0,5244.0
accumulo,ACCUMULO-1637,34,23.0,4.0,3128.0
accumulo,ACCUMULO-1637,15,23.0,4.0,1380.0
accumulo,ACCUMULO-1637,2,23.0,4.0,184.0
accumulo,ACCUMULO-1637,7,23.0,4.0,644.0
accumulo,ACCUMULO-1637,44,23.0,4.0,4048.0
accumulo,ACCUMULO-1800,12,0.0,4.0,0.0
accumulo,ACCUMULO-1685,2,145.0,4.0,1160.0
accumulo,ACCUMULO-1685,13,145.0,4.0,7540.0
accumulo,ACCUMULO-1685,4,145.0,4.0,2320.0
accumulo,ACCUMULO-1685,2,145.0,4.0,1160.0
accumulo,ACCUMULO-1044,1,402.0,4.0,1608.0
accumulo,ACCUMULO-1044,7,402.0,4.0,11256.0
accumulo,ACCUMULO-1044,9,201.0,4.0,7236.0
accumulo,ACCUMULO-1044,33,201.0,4.0,26532.0
accumulo,ACCUMULO-1044,6,201.0,4.0,4824.0
accumulo,ACCUMULO-1044,4,201.0,4.0,3216.0
