"precision","recall","Fmeasure","AUC","FNrate","FN","TP","TN","FP","model","project","release.train","release.test"
0.444444444444444,0.13953488372093,0.212389380530973,0.730816077953715,0.86046511627907,74,12,806,15,"rf","accumulo",0,1
0.480000000000001,0.13953488372093,0.216216216216216,0.742720165425035,0.86046511627907,74,12,808,13,"glm","accumulo",0,1
0.306666666666667,0.267441860465116,0.285714285714286,0.742762654731893,0.732558139534884,63,23,769,52,"nb","accumulo",0,1
0.470588235294118,0.186046511627907,0.266666666666667,0.333328612299238,0.813953488372093,70,16,803,18,"rpart","accumulo",0,1
0.439024390243902,0.209302325581395,0.283464566929134,0.743329178823329,0.790697674418605,68,18,798,23,"lda","accumulo",0,1
0.32183908045977,0.325581395348837,0.323699421965318,0.735766082202646,0.674418604651163,58,28,762,59,"qda","accumulo",0,1
0.479999999999999,0.171428571428571,0.252631578947368,0.791598778004073,0.828571428571429,58,12,969,13,"rf","accumulo",1,2
0.642857142857142,0.128571428571429,0.214285714285714,0.794842886237998,0.871428571428571,61,9,977,5,"glm","accumulo",1,2
0.0671140939597315,1,0.125786163522013,0.80659004946174,0,0,70,9,973,"nb","accumulo",1,2
0.272727272727273,0.171428571428571,0.210526315789474,0.739314809426826,0.828571428571429,58,12,950,32,"rpart","accumulo",1,2
0.46875,0.214285714285714,0.294117647058823,0.795832121035787,0.785714285714286,55,15,965,17,"lda","accumulo",1,2
0.174107142857143,0.557142857142857,0.26530612244898,0.705520803025895,0.442857142857143,31,39,797,185,"qda","accumulo",1,2
0.325,0.40625,0.361111111111111,0.713461538461538,0.59375,19,13,168,27,"rf","bookkeeper",0,1
0.366666666666667,0.34375,0.354838709677419,0.673717948717949,0.65625,21,11,176,19,"glm","bookkeeper",0,1
0.325581395348837,0.4375,0.373333333333333,0.737259615384615,0.5625,18,14,166,29,"nb","bookkeeper",0,1
0.30952380952381,0.40625,0.351351351351351,0.371233974358974,0.59375,19,13,166,29,"rpart","bookkeeper",0,1
0.354838709677419,0.34375,0.349206349206349,0.698637820512821,0.65625,21,11,175,20,"lda","bookkeeper",0,1
0.298245614035088,0.53125,0.382022471910112,0.702804487179487,0.46875,15,17,155,40,"qda","bookkeeper",0,1
0.333333333333333,0.4,0.363636363636364,0.746853146853147,0.6,15,10,266,20,"rf","bookkeeper",1,2
0.296296296296296,0.32,0.307692307692308,0.773986013986014,0.68,17,8,267,19,"glm","bookkeeper",1,2
0.27906976744186,0.48,0.352941176470588,0.796083916083916,0.52,13,12,255,31,"nb","bookkeeper",1,2
0.266666666666667,0.48,0.342857142857143,0.713776223776224,0.52,13,12,253,33,"rpart","bookkeeper",1,2
0.242424242424242,0.32,0.275862068965517,0.776643356643357,0.68,17,8,261,25,"lda","bookkeeper",1,2
0.282608695652174,0.52,0.366197183098592,0.743496503496504,0.48,12,13,253,33,"qda","bookkeeper",1,2
0.666666666666657,0.0408163265306122,0.0769230769230769,0.726421398109388,0.959183673469388,141,6,2420,3,"rf","camel",0,1
0.833333333333327,0.0680272108843537,0.125786163522013,0.787935066721695,0.931972789115646,137,10,2421,2,"glm","camel",0,1
0.244318181818182,0.292517006802721,0.26625386996904,0.723105668185557,0.707482993197279,104,43,2290,133,"nb","camel",0,1
NA,0,NA,0.5,1,147,0,2423,0,"rpart","camel",0,1
0.385964912280701,0.149659863945578,0.215686274509804,0.790167077974401,0.850340136054422,125,22,2388,35,"lda","camel",0,1
0.27007299270073,0.251700680272109,0.26056338028169,0.752739477962047,0.748299319727891,110,37,2323,100,"qda","camel",0,1
0.428571428571427,0.106194690265487,0.170212765957447,0.761473892351385,0.893805309734513,101,12,2723,16,"rf","camel",1,2
0.457142857142859,0.141592920353982,0.216216216216216,0.790896490224777,0.858407079646018,97,16,2720,19,"glm","camel",1,2
0.163076923076923,0.469026548672566,0.242009132420091,0.75610890868381,0.530973451327434,60,53,2467,272,"nb","camel",1,2
0.380952380952381,0.0707964601769911,0.119402985074627,0.455290187297864,0.929203539823009,105,8,2726,13,"rpart","camel",1,2
0.25,0.238938053097345,0.244343891402715,0.79840843664279,0.761061946902655,86,27,2658,81,"lda","camel",1,2
0.170040485829959,0.371681415929204,0.233333333333333,0.761133027685965,0.628318584070796,71,42,2534,205,"qda","camel",1,2
0.682539682539683,0.37719298245614,0.485875706214689,0.807663896583564,0.62280701754386,71,43,550,20,"rf","cassandra",0,1
0.661290322580645,0.359649122807018,0.465909090909091,0.81580486303478,0.640350877192982,73,41,549,21,"glm","cassandra",0,1
0.74468085106383,0.307017543859649,0.434782608695652,0.762803939673746,0.692982456140351,79,35,558,12,"nb","cassandra",0,1
0.706896551724138,0.359649122807018,0.476744186046512,0.770560172360726,0.640350877192982,73,41,553,17,"rpart","cassandra",0,1
0.614285714285714,0.37719298245614,0.467391304347826,0.822083718067098,0.62280701754386,71,43,543,27,"lda","cassandra",0,1
0.617647058823529,0.368421052631579,0.461538461538461,0.788842720837181,0.631578947368421,72,42,544,26,"qda","cassandra",0,1
0.595744680851064,0.358974358974359,0.448,0.774285331726585,0.641025641025641,100,56,728,38,"rf","cassandra",1,2
0.648648648648649,0.307692307692308,0.417391304347826,0.774306252928968,0.692307692307692,108,48,740,26,"glm","cassandra",1,2
0.517482517482518,0.474358974358974,0.494983277591973,0.770368882640423,0.525641025641026,82,74,697,69,"nb","cassandra",1,2
0.531531531531532,0.378205128205128,0.441947565543071,0.74368179688023,0.621794871794872,97,59,714,52,"rpart","cassandra",1,2
0.661290322580645,0.262820512820513,0.376146788990826,0.787469873468568,0.737179487179487,115,41,745,21,"lda","cassandra",1,2
0.472972972972973,0.448717948717949,0.460526315789474,0.787436399544755,0.551282051282051,86,70,688,78,"qda","cassandra",1,2
0.375,0.527472527472527,0.438356164383562,0.870374765623146,0.472527472527473,43,48,2235,80,"rf","cxf",0,1
0.444444444444444,0.43956043956044,0.441988950276243,0.875957088268103,0.56043956043956,51,40,2265,50,"glm","cxf",0,1
0.251256281407035,0.549450549450549,0.344827586206896,0.86399971518762,0.450549450549451,41,50,2166,149,"nb","cxf",0,1
